LastName,FirstName,Degree,FOS,YearStarted,YearEarned
Liang,Xiaogan,Ph.D,Electrical Engineering,2002,2008
Freiheit,Theodor,,,,
Deotare,Parag,Doctor of Philosophy (PhD),Electrical Engineering,2007,2012
Newman,Mark,PhD,Computer Science,1997,2007
Nassiri,Shima,Doctor of Philosophy (Ph.D.),Operations Management,2012,2017
Markov,Igor,Ph.D.,"Computer Science, Mathematics",1993,2000
Duraisamy,Karthik,PhD (Aerospace Engineering),BE (Mechanical Engineering),,
Chowdhury,Mosharaf,PhD,Computer Science,2009,2015
Sytch,Maxim,PhD,Management and Organizations,2003,2009
Nagrath,Deepak,Bachelor of Technology (BTech),Chemical Engineering,,
Chowdhury,Mosharaf,PhD,Computer Science,2009,2015
Pettie,Seth,,,,
Newman,Mark,PhD,Computer Science,1997,2007
Huterer,Dragan,Doctor of Philosophy (Ph.D.),Physics,1996,2001
Lu,Wei,Bachelor of Science (BS),Physics,1991,1996
Sytch,Maxim,PhD,Management and Organizations,2003,2009
Nagrath,Deepak,Bachelor of Technology (BTech),Chemical Engineering,,
Arvai,Joe,,,,
Uehling,Greta,PhD,Anthropology,2000,
Sick,Volker,Habilitation,Physical Chemistry,1992,1997
Zhang,Zhengya,Ph.D.,Electrical Engineering,2005,2009
Vasudevan,Ram,,,,
Cole,Elizabeth,,,,
Sriram,S,Ph. D.,Marketing,1998,2004
Ellis,Jason,PhD,Microbiology & Immunology,2003,2009
Dreslinski,Ronald,"BSE, BSE, MSE, Ph.D",Electrical and Computer Engineering,1997,2011
Bozer,Yavuz,,,,
Lasecki,Walter,PhD,Computer Science,2010,2015
Mozafari,Barzan,Computer Science,Computer Science,2006,2011
Kim,Hun-Seok,M.S. and Ph.D.,Electrical Engineering,2004,2010
Moore,Kristen,,,,
Gnedin,Oleg,,,,
Bardenstein,Carol,,,,
White,Andy,Post Doc,Chemistry,1988,1989
Chen,Peter,,,,
Nagar,Venky,,,,
Menassa,Carol,MS,Finance,2007,2009
Ziff,Robert,,,,
Collins-Thompson,Kevyn,,,2001,2008
Rule,Krista,Doctor of Philosophy (Ph.D.),Environmental Engineering,2002,2008
Das,Reetuparna,PhD,Computer Science and Engineering,2005,2010
Zimmerling,Jörn,Doctor of Philosophy (Ph.D.),cum laude,2014,2018
Ni,Jun,Doctor of Philosophy (PhD),Mechanical Engineering,1983,1987
Hasson,Rebecca,,,,
Xi,Chuanwu,PhD,Molecular Microbiology,1996,2000
W.,Tobias,Doctor of Philosophy - PhD,Biochemistry,2010,2013
Scott,Timothy,,,,
Harms,Paul,Fellowship--Dermatopathology,Residency--Anatomic Pathology,2011,2012
Toyama,Kentaro,PhD,Computer Science,1992,1997
Xu,Zhen,Doctor of Philosophy (Ph.D.),Ultrasound,2001,2005
(Rademacher),Diane,MS,Health Care Education,1994,2000
Ericson,Barbara,PhD,Human Centered Computing,2012,2017
Austin,Todd,Doctor of Philosophy (Ph.D.),Computer Science,1991,1996
Mahdavifar,Hessam,PhD,Electrical Engineering - Communication Systems,2007,2012
Willingale,Louise,PhD,Plasma Physics,2003,2007
Baker,Brendon,PhD,Bioengineering,2005,2010
Honeyman,Peter,,,,
M.,John,Ph.D.,Mechanical Engineering,1983,1988
Wilensky,Beth,J.D. cum laude,B.A. magna cum laude,1995,1998
Mei,Qiaozhu,Ph.D.,Computer Science,2004,2009
Burton,Allen,PhD,Aquatic Toxicology,1979,1984
Borja,Melissa,Doctor of Philosophy (Ph.D.),History,2006,2013
Sandvig,Christian,,,,
Hofmann,Heath,Ph.D.,EECS,1993,1998
Samson,Perry,,,,
Zekkos,Dimitrios,,,,
Ruotolo,Brandon,Post-doctoral Research Associate,Mass Spectrometry,2004,2008
Wade,Ron,MA,Sports Administration,2001,2003
von,Peter,Dr.-Ing.,Engineering,1996,2007
Soderstrom,Sara,PhD,Management and Organizations,2005,2010
Hu,Zhen,Doctor of Philosophy (Ph.D.),Mechanical Engineering,2011,2014
Jurgens,David,PhD,Computer Science,2005,2014
Semrau,Jeremy,,,,
Chatters,Linda,Bachelor of Arts (BA),Psychology,,
Thomas,Toon,,,,
Van,A.,Master of Fine Arts (MFA),Film/Video and Photographic Arts,2014,2016
Liu,Henry,Ph.D.,Civil and Environmental Engineering,1997,2000
Metzger,Michael,"Ph.D., M.A.","Education Management, Public Policy",1996,2000
Schwarz,Tom,,,,
Hunter,MaryCarol,Masters of Landscape Architecture,Environmental Design,1996,1999
Flynn,Michael,,,,
Botero,Tatiana,Certificate Endodontics,Endodontics/Endodontology,2003,2005
Kluge,Arnold,,,,
Tardif,Twila,PhD,Psychology,1990,1993
Mehta,Geeta,Postdoctoral training,Biological Engineering,2008,2010
xu,haoxing,Bachelor of Science (BS),Biochemistry,1988,1992
Burgess,Helen,PhD,Sleep and Circadian Rhythms,1995,1998
"Rodriguez,",Awilda,Doctor of Philosophy (Ph.D.),Higher Education,2009,2013
Najafi,Khalil,Doctor of Philosophy (PhD),Electrical and Electronics Engineering,1981,1986
Aton,Sara,Ph.D.,Neuroscience,2001,2006
Saran,Rajiv,,,,
Laine,Richard,,,,
Kota,Sridhar,,,,
Prakash,Atul,,,,
Kennedy,Robert,,,,
"Fields,",Rita,,,,
DeRue,Scott,,,,
Afshari,Ehsan,,,,
Jessie,X.,,,,
Huntley,Hugh,,,,
Soellner,Matthew,,,,
Brockbank,Wayne,,,,
Wen,Xiaoquan,,,,
Graf,Roland,Dipl. Ing. (MSc equivalent),"Architecture, Media Art",1995,2002
Chen,Xi,PhD,Industrial Engineering,2008,2014
Shea,Michael,,,,
Dillard,Angela,,,,
lieberman,victor,,,,
Rita,Dr.,,,,
Hodge,Justin,,,,
Liang,Xiaogan,Ph.D,Electrical Engineering,2002,2008
Clark,Sarah,,,,
Tewari,Ambuj,,,,
R.,Joaquim,Ph.D.,Aeronautics and Astronautics,1997,2002
Elvati,Paolo,Doctor of Philosophy (Ph.D.),Computional Chemistry,2005,2009
Corso,Jason,Ph.D.,Computer Science,2000,2005
Wenisch,Thomas,Doctor of Philosophy - PhD,Electrical and Computer Engineering,2001,2007
Klein,Barbara,,,,
Krishna,Aradhna,Doctor of Philosophy (Ph.D.),Marketing,1986,1989
Khanna,Vikramaditya,SJD,Corporate Law,1993,1997
Leventhal,Dan,Ph.D.,Biomedical Engineering,1995,2004
Sienko,Kathleen,PhD,Medical Engineering and Bioastronautics,2002,2006
Hicken,Allen,,,,
Whitman,Chris,,,,
Najarian,Kayvan,,,,
Mahlke,Scott,Doctor of Philosophy - PhD,Electrical Engineering,1991,1997
Kleer,Celina,,,,
West,Brady,,,,
seyhun,nejat,,,,
Ionides,Edward,Doctor of Philosophy (Ph.D.),Statistics,1995,2001
Gelman,Susan,Ph.D.,Psychology,1980,1984
Geronimus,Arline,,,,
Kossoudji,Sherrie,,,,
Tol,Serife,Doctor of Philosophy (PhD),Master of Science (MS),2012,2017
Gull,Emanuel,Physics,,2000,2008
Dabkowski,Michael,Doctor of Philosophy (Ph.D.),Mathematics,2007,2011
Atreya,Arvind,"Indian institute of Technology, Delhi",Mechanical Engineering,,
Romero,Daniel,PhD,Applied Mathematics,2007,2012
Castro,Maria,,,,
Ng,Tiffany,,,,
Shamim,Tariq,,,,
OConnor,Barry,Doctor of Philosophy (Ph.D.),Acarology,1973,1980
Williams,John,"Doctor of Medicine (M.D.), Ph.D","Medicine, Physiology and Biphysics",1962,1968
Solomon,Michael,Doctor of Philosophy (Ph.D.),Chemical Engineering,1991,1996
Winick,Kim,MS PhD,Electrical Engineering,1976,1981
Dus,Monica,,,,
Barger,Mike,,,,
Osawa,Yoichi,,,,
E.,Susan,,,,
Hu,Jingwen,,,,
D.,John,,,,
Chapman,Jay,,,,
Wesorick,David,,,,
Fox,Glenn,,,,
Guthrie,Sally,,,,
Marsh,Neil,,,,
Vydiswaran,V.G.Vinod,,,,
Mayer,Dave,,,,
Fu,Jianping,,,,
Gordon,Aubree,,,,
"Ramsay,",Jessica,,,,
chang,edward,,,,
Eun,Sung,,,,
Smock,Pamela,,,,
Shumway,Tyler,,,,
Wagner,Abram,,,,
Ahn,Juhn,,,,
Ludlow,Andrew,,,,
Li,Jianming,,,,
Rais-Zadeh,Mina,,,,
Jasin,Stefanus,,,,
Friedman,Richard,,,,
Alter,George,,,,
Kobelsky,Kevin,,,,
Kubarych,Kevin,,,,
Cook,Jeffrey,,,,
Singer,Kanakadurga,,,,
Hoss,Betty,,,,
Kress,Jeremy,,,,
Bennett,Audrey,,,,
Hayes,John,,,,
Wooldridge,Margaret,,,,
Ivanov,Valeriy,,,,
Thomas,Alec,,,,
Denton,Brian,,,,
Michele,Daniel,,,,
Neighbors,Harold,,,,
Deepa,Dr.,,,,
Teorey,Toby,,,,
Samuelson,Linda,,,,
Xiang,Weidong,,,,
Rand,Stephen,,,,
